Words,Pronunciation,Definition,Image
accommodation, ə-ˌkä-mə-ˈdā-shən,something supplied for convenience or to satisfy a need,
bedroom,ˈbed-ˌrüm  ,a room furnished with a bed and intended primarily for sleeping,
bump,ˈbəmp  ,"a sudden forceful blow, impact, or jolt",
countless,ˈkau̇nt-ləs  ,too numerous to be counted,
critic, ˈkri-tik  ,"one who engages often professionally in the analysis, evaluation, or appreciation of works of art or artistic performances",
dislocate, ˈdis-lō-ˌkāt ,to put out of place,
downstairs,ˈdau̇n-ˈsterz  ,on or to a lower floor,
eyeball, ˈī-ˌbȯl  ,the more or less globular capsule of the vertebrate eye formed by the sclera and cornea together with their contained structures,
fashionable,ˈfa-shə-nə-bəl  ,"conforming to the custom, fashion, or established mode",
frugal,ˈfrü-gəl  ,characterized by or reflecting thrift and efficiency in the use of resources,
gloomy,ˈglü-mē  ,lacking in promise or hopefulness,
gossip,ˈgä-səp  ,rumors or information about the behavior or personal lives of other people,
hurry,ˈhər-ē  ,to impel to rash or precipitate action,
impartial,im-ˈpär-shəl  ,not partial or biased,
inaudible,i-ˈnȯ-də-bəl  ,not audible,
jaded,ˈjā-dəd  ,feeling or showing a lack of interest or excitement that is caused by having done or experienced too much of something,
lonely,ˈlōn-lē,being without company,
majestic,mə-ˈje-stik  ,having or exhibiting majesty,
manager,ˈma-ni-jər ,a person whose work or profession is management,
obscene, äb-ˈsēn  ,abhorrent to morality or virtue,
outbreak, ˈau̇t-ˌbrāk  ,a sudden or violent increase in activity or disease,
pious, ˈpī-əs  ,marked by or showing reverence for deity and devotion to divine worship,
questioning, ˈkwes-chə-niŋ  ,the activity or process of asking questions,
rant,ˈrant  ,"to complain loudly, angrily, or unreasonably",
reliance, ri-ˈlī-ən(t)s  ,the state of being reliant,
suspicious, sə-ˈspi-shəs  ,tending to arouse suspicion,
swagger, ˈswa-gər  ,to conduct oneself in an arrogant or superciliously pompous manner,
traditional,trə-ˈdi-sh(ə-)nəl  ,consisting of or derived from tradition,
varied, ˈver-ēd  ,"various, diverse",
worthless, ˈwərth-ləs ,valueless,
